Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,25,A,Patronato,0,0,Alvarado,A
2,25,B,Almagro,0,0,Def. de Belgrano,B
3,25,B,Brown (A),0,0,Chaco For Ever,B
4,25,B,Temperley,0,0,San Telmo,B
5,25,B,Dep. Moron,0,0,Atl Rafaela,B
6,25,B,Nueva Chicago,0,0,Dep. Madryn,B
7,25,B,Gimnasia (M),0,0,Def. Unidos,B
8,25,B,Gimnasia (S),0,0,Atlanta,B
9,25,B,Mitre (SdE),0,0,Alte Brown,B
10,25,B,Aldosivi,0,0,Colon,B
11,25,A,Chacarita,0,0,Estudiantes (BA),A
12,25,A,San Martin (T),0,0,Talleres (RdE),A
13,25,A,Arsenal,0,0,Quilmes,A
14,25,A,San Martin (SJ),0,0,San Miguel,A
15,25,A,Brown (PM),0,0,Ferro,A
16,25,A,Agropecuario,0,0,Dep. Maipu,A
17,25,A,All Boys,0,0,Gimnasia (J),A
18,25,A,Tristan Suarez,0,0,Guemes (SdE),A
19,25,A,Racing (C),0,0,Estudiantes (RC),B
