_key,Id,Equipo,Zona,puntos,PJ,PG,PE,PP,GF,GC,DG
01,01,Agropecuario ,A,0,0,0,0,0,0,0,0
02,02,Aldosivi ,B,0,0,0,0,0,0,0,0
03,03,All Boys,A,0,0,0,0,0,0,0,0
04,04,Almagro,B,0,0,0,0,0,0,0,0
05,05,Almirante Brown SJ,B,0,0,0,0,0,0,0,0
06,06,Alvarado MdP,A,0,0,0,0,0,0,0,0
07,07,Arsenal ,A,0,0,0,0,0,0,0,0
08,08,Atlanta,B,0,0,0,0,0,0,0,0
09,09,A Rafaela,B,0,0,0,0,0,0,0,0
10,10,Brown (A),B,0,0,0,0,0,0,0,0
11,11,Brown (PM),A,0,0,0,0,0,0,0,0
12,12,Chacarita ,A,0,0,0,0,0,0,0,0
13,13,Chaco For Ever,B,0,0,0,0,0,0,0,0
14,14,Colón,B,0,0,0,0,0,0,0,0
15,15,Def Belgrano,B,0,0,0,0,0,0,0,0
16,16,Def Unidos,B,0,0,0,0,0,0,0,0
17,17,Dep Madryn,B,0,0,0,0,0,0,0,0
18,18,Dep Maipú,A,0,0,0,0,0,0,0,0
19,19,Dep Morón,B,0,0,0,0,0,0,0,0
20,20,Estudiantes (BA),A,0,0,0,0,0,0,0,0
21,21,Estudiantes (RC),B,0,0,0,0,0,0,0,0
22,22,Ferro,A,0,0,0,0,0,0,0,0
23,23,Gimnasia (J),A,0,0,0,0,0,0,0,0
24,24,Gimnasia (M),B,0,0,0,0,0,0,0,0
25,25,Gimnasia (S),B,0,0,0,0,0,0,0,0
26,26,Guemes (SdE),A,0,0,0,0,0,0,0,0
27,27,Mitre (SdE) ,B,0,0,0,0,0,0,0,0
28,28,Nueva Chicago,B,0,0,0,0,0,0,0,0
29,29,Patronato,A,0,0,0,0,0,0,0,0
30,30,Quilmes*,A,-3,0,0,0,0,0,0,0
31,31,Racing (C),A,0,0,0,0,0,0,0,0
32,32,San Martin (SJ),A,0,0,0,0,0,0,0,0
33,33,San Martin (T),A,0,0,0,0,0,0,0,0
34,34,San Miguel,A,0,0,0,0,0,0,0,0
35,35,San Telmo,B,0,0,0,0,0,0,0,0
36,36,Talleres (RdE),A,0,0,0,0,0,0,0,0
37,37,Temperley,B,0,0,0,0,0,0,0,0
38,38,Tristán Suárez,A,0,0,0,0,0,0,0,0
