_key,Id,Equipo,Zona,puntos,PJ,PG,PE,PP,GF,GC,DG
01,01,Agropecuario ,A,0,0,0,0,0,0,0,0
02,02,Aldosivi ,B,0,0,0,0,0,0,0,0
03,03,All Boys,A,3334,111112,112,01,11,18,8,10
04,04,Almagro,B,1,01111111,0,01,11112,-6,4,-10
05,05,Almirante Brown SJ,B,0,0,0,0,0,0,0,0
06,06,Alvarado MdP,A,0,0,0,0,0,0,0,0
07,07,Arsenal ,A,0,0,0,0,0,0,0,0
08,08,Atlanta,B,113316,01111111,112,0111,0,6,2,4
09,09,A Rafaela,B,0,0,0,0,0,0,0,0
10,10,Brown (A),B,111112,01111111,0,01111111,0,0,0,0
11,11,Brown (PM),A,111112,111112,0,01111111,0,0,0,0
12,12,Chacarita ,A,0,0,0,0,0,0,0,0
13,13,Chaco For Ever,B,313314,01111111,112,0111,0,4,0,4
14,14,Colón,B,0,0,0,0,0,0,0,0
15,15,Def Belgrano,B,0,0,0,0,0,0,0,0
16,16,Def Unidos,B,0,0,0,0,0,0,0,0
17,17,Dep Madryn,B,0,0,0,0,0,0,0,0
18,18,Dep Maipú,A,0,0,0,0,0,0,0,0
19,19,Dep Morón,B,0,0,0,0,0,0,0,0
20,20,Estudiantes (BA),A,131132,111112,11,011111,0,6,4,2
21,21,Estudiantes (RC),B,11112,111112,0,0111111,1,0,1,-1
22,22,Ferro,A,111112,01111111,0,01111111,0,0,0,0
23,23,Gimnasia (J),A,131132,01111111,11,011111,0,2,0,2
24,24,Gimnasia (M),B,111112,111112,0,01111111,0,0,0,0
25,25,Gimnasia (S),B,111,111112,0,0111,112,0,4,-4
26,26,Guemes (SdE),A,111112,01111111,0,01111111,0,0,0,0
27,27,Mitre (SdE) ,B,0,0,0,0,0,0,0,0
28,28,Nueva Chicago,B,313314,111112,112,0111,0,4,0,4
29,29,Patronato,A,331,01111111,11,01,112,4,6,-2
30,30,Quilmes*,A,-3,0,0,0,0,0,0,0
31,31,Racing (C),A,131132,01111111,11,011111,0,2,0,2
32,32,San Martin (SJ),A,111112,111112,0,01111111,0,0,0,0
33,33,San Martin (T),A,1112,111112,0,011111,11,8,12,-4
34,34,San Miguel,A,1112,01111111,0,011111,11,4,6,-2
35,35,San Telmo,B,111112,01111111,0,01111111,0,0,0,0
36,36,Talleres (RdE),A,111112,111112,0,01111111,0,2,2,0
37,37,Temperley,B,111112,01111111,0,01111111,0,0,0,0
38,38,Tristán Suárez,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,
