Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,32,A,Ferro,0,0,Guemes (SdE),A
2,32,A,San Miguel,0,0,Alvarado MdP,A
3,32,A,Quilmes,0,0,Racing (C),A
4,32,A,Talleres (RdE),0,0,Patronato,A
5,32,A,Estudiantes (BA),0,0,Tristán Suárez,A
6,32,A,Chacarita,0,0,All Boys,A
7,32,A,San Martin (T),0,0,Agropecuario,A
8,32,A,Dep Maipú,0,0,Gimnasia (J),A
9,32,A,Arsenal,0,0,Brown (PM),A
10,32,B,Gimnasia (S),0,0,Gimnasia (M),B
11,32,B,Mitre (SdE),0,0,Nueva Chicago,B
12,32,B,Aldosivi,0,0,Dep Morón,B
13,32,B,Estudiantes (RC),0,0,Temperley,B
14,32,B,Colón,0,0,Brown (A),B
15,32,B,Alte Brown,0,0,Almagro,B
16,32,B,Atlanta,0,0,Def Belgrano,B
17,32,B,Def Unidos,0,0,Chaco For Ever,B
18,32,B,Dep Madryn,0,0,San Telmo,B
19,32,B,Atl Rafaela,0,0,San Martin (SJ),A
